Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,0.1uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,PinHeader_1x06_P2.54mm_Vertical,1,SNAP,
J2,PinHeader_1x04_P2.54mm_Vertical,1,CLKIO,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Serial,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,150,
"R10, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
SW1,SW_PUSH_6mm_H4.3mm,1,SW_Push,
U1,DIP-28_W7.62mm,1,PIC18F27Q43-IP,
U2,OSL-30561_no_courtyard,1,OSL-30561,
